STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,ADJUSTMENT,Adjustment,DECIMALS,Decimals,BASE_PER,Base period
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1970-Q1,,57.6820140372889,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1970-Q2,,57.7668595576337,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1970-Q3,,57.8047008988491,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1970-Q4,,57.7929417525122,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1971-Q1,,57.746696990037,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1971-Q2,,57.7916414387688,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1971-Q3,,57.8378851800667,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1971-Q4,,58.0783419618338,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1972-Q1,,58.6430936690449,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1972-Q2,,58.6159026558418,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1972-Q3,,58.9358669512256,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1972-Q4,,59.4165599959965,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1973-Q1,,59.443963334372,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1973-Q2,,59.3477614352962,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1973-Q3,,59.8356442226424,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1973-Q4,,62.0012012677026,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1974-Q1,,64.5342930404754,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1974-Q2,,66.74723333536,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1974-Q3,,67.6673189659312,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1974-Q4,,66.8622805172727,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1975-Q1,,65.4035290467924,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1975-Q2,,64.4991927715834,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1975-Q3,,64.043130827112,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1975-Q4,,64.4188963831094,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1976-Q1,,64.9753005005309,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1976-Q2,,65.9601016577797,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1976-Q3,,67.2615603922939,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1976-Q4,,68.4010323569166,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1977-Q1,,69.4039918741246,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1977-Q2,,69.9271477036845,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1977-Q3,,70.1450107565167,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1977-Q4,,70.6460333242106,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1978-Q1,,71.6222125094025,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1978-Q2,,72.4877748483218,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1978-Q3,,73.5055941302786,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1978-Q4,,75.0142270787952,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1979-Q1,,75.6534695808511,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1979-Q2,,75.0686828855291,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1979-Q3,,73.7045612440129,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1979-Q4,,72.4050019079638,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1980-Q1,,71.6724114574025,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1980-Q2,,72.8627030794943,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1980-Q3,,74.9074440935647,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1980-Q4,,77.112107601871,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1981-Q1,,77.7805196552657,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1981-Q2,,76.4745549954078,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1981-Q3,,74.6882595919411,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1981-Q4,,72.9303047740911,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1982-Q1,,72.0297281686432,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1982-Q2,,71.6065870833204,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1982-Q3,,71.1083027736963,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1982-Q4,,70.2029813879618,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1983-Q1,,69.5896029298725,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1983-Q2,,68.9269283191424,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1983-Q3,,68.0563649543121,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1983-Q4,,66.7749351939938,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1984-Q1,,65.4823664029239,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1984-Q2,,64.6153673205963,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1984-Q3,,64.0841813936475,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1984-Q4,,63.4173867110202,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1985-Q1,,62.4947220790993,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1985-Q2,,62.0891703173045,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1985-Q3,,62.1893301429625,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1985-Q4,,62.2360264046539,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1986-Q1,,62.3221277262908,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1986-Q2,,62.9854897393809,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
DATAFLOW,OECD.ECO.MPD:DSD_AN_HOUSE_PRICES@DF_HOUSE_PRICES(1.0),Analytical house prices indicators,I,EA17,Euro area (17 countries),Q,Quarterly,RHP,Real house price indices,IX,Index,1986-Q3,,63.7797976995206,,A,Normal value,0,Units,S,"Seasonally adjusted, not calendar adjusted",1,One,2015,
